group_id,relationship,mapping_basis,old_avilist_id,old_english_name,old_scientific_name,new_avilist_id,new_english_name,new_scientific_name
legacy-map-001,split,curated_mapping,avibase-D5813CA4,Crested Guineafowl,Guttera pucherani,avibase-35D60F12,Eastern Crested Guineafowl,Guttera pucherani
legacy-map-001,split,curated_mapping,avibase-D5813CA4,Crested Guineafowl,Guttera pucherani,avibase-9D29C252,Western Crested Guineafowl,Guttera verreauxi
legacy-map-002,replacement,curated_mapping,avibase-BD2BC35C,White-browed Coucal,Centropus superciliosus,avibase-4B2A7A35,White-browed Coucal,Centropus superciliosus
legacy-map-003,lump,curated_mapping,avibase-71A552DA,Bare-faced (Brown-faced) Go-away-bird,Corythaixoides personatus personatus,avibase-215428B0,Bare-faced Go-away-bird,Crinifer personatus
legacy-map-003,lump,curated_mapping,avibase-BEDA5DA6,Bare-faced (Black-faced) Go-away-bird,Corythaixoides (personatus) leopoldi,avibase-215428B0,Bare-faced Go-away-bird,Crinifer personatus
legacy-map-004,lump,curated_mapping,avibase-62ED1974,Fiery-necked Nightjar,Caprimulgus pectoralis,avibase-7E3578A2,Fiery-necked Nightjar,Caprimulgus pectoralis
legacy-map-004,lump,curated_mapping,avibase-AB8E1D95,Black-shouldered Nightjar,Caprimulgus (pectoralis) nigriscapularis,avibase-7E3578A2,Fiery-necked Nightjar,Caprimulgus pectoralis
legacy-map-005,replacement,curated_mapping,avibase-865C039E,Purple Swamphen,Porphyrio porphyrio (race madagascariensis),avibase-AC1E791E,Purple Swamphen,Porphyrio porphyrio
legacy-map-006,replacement,curated_mapping,avibase-66DA1FB3,Lesser Sand Plover,Charadrius mongolus,avibase-828D3D5A,Tibetan Sand Plover,Anarhynchus atrifrons
legacy-map-007,replacement,curated_mapping,avibase-F9305BAA,Whimbrel,Numenius phaeopus,avibase-082F3A63,Eurasian Whimbrel,Numenius phaeopus
legacy-map-008,unresolved,curated_mapping,avibase-00DA9D91,Common Gull,Larus canus,,,
legacy-map-009,lump,curated_mapping,avibase-42720061,Baltic Gull,Larus fuscus fuscus,avibase-2D52E3A5,Lesser Black-backed Gull,Larus fuscus
legacy-map-009,lump,curated_mapping,avibase-4592C07E,Heuglin’s Gull,Larus (fuscus) heuglini ,avibase-2D52E3A5,Lesser Black-backed Gull,Larus fuscus
legacy-map-010,lump,curated_mapping,avibase-943CDEAC,Little Tern,Sternula albifrons,avibase-17310BF0,Little Tern,Sternula albifrons
legacy-map-010,lump,curated_mapping,avibase-4B21F4D8,Saunders’s Tern,Sternula (albifrons) saundersi,avibase-17310BF0,Little Tern,Sternula albifrons
legacy-map-011,replacement,curated_mapping,avibase-F76E7B80,Woolly-necked Stork,Ciconia episcopus,avibase-5157C558,African Woolly-necked Stork,Ciconia microscelis
legacy-map-012,replacement,curated_mapping,avibase-36DF115B,Striated Heron,Butorides striata,avibase-7085B8A0,Little Heron,Butorides atricapilla
legacy-map-013,replacement,curated_mapping,avibase-7C15B36B,Dimorphic Egret, Egretta (garzetta) dimorpha,avibase-F2858F9F,Little Egret,Egretta garzetta
legacy-map-014,unresolved,curated_mapping,avibase-67200E8E,Christmas Island Frigatebird,Fregata andrewsi,,,
legacy-map-015,replacement,curated_mapping,avibase-5EC21767,Brown Booby,Sula leucogaster,avibase-05520B42,Brown Booby,Sula leucogaster
legacy-map-016,lump,curated_mapping,avibase-C1C255AA,Black Kite,Milvius migrans migrans,avibase-06D9A2C8,Black Kite,Milvus migrans
legacy-map-016,lump,curated_mapping,avibase-EE9C6A5E,Yellow-billed Kite,Milvius (migrans) aegyptius,avibase-06D9A2C8,Black Kite,Milvus migrans
legacy-map-016,lump,curated_mapping,avibase-A691B378,Eastern Black Kite,Milvius migrans migrans x Milvius migrans lineatus intergrade,avibase-06D9A2C8,Black Kite,Milvus migrans
legacy-map-017,replacement,curated_mapping,avibase-02AD152F,(Common) Steppe Buzzard,Buteo buteo (race vulpinus),avibase-3C0C325D,Common Buzzard,Buteo buteo
legacy-map-018,replacement,curated_mapping,avibase-FEE35F4C,Barn Owl,Tyto alba,avibase-CFD6F275,Western Barn Owl,Tyto alba
legacy-map-019,split,curated_mapping,avibase-38E24616,Spotted Eagle Owl,Bubo africanus,avibase-0018A99B,Greyish Eagle-Owl,Bubo cinerascens
legacy-map-019,split,curated_mapping,avibase-38E24616,Spotted Eagle Owl,Bubo africanus,avibase-DC8CC91D,Spotted Eagle-Owl,Bubo africanus
legacy-map-020,lump,curated_mapping,avibase-F4D0DB8E,Eurasian Hoopoe ,Upupa epops epops ,avibase-FA2F9125,Common Hoopoe,Upupa epops
legacy-map-020,lump,curated_mapping,avibase-66F40AD0,Eurasian Hoopoe ,Upupa epops waibeli ,avibase-FA2F9125,Common Hoopoe,Upupa epops
legacy-map-020,lump,curated_mapping,avibase-E4573453,African Hoopoe,Upupa (epops) africana ,avibase-FA2F9125,Common Hoopoe,Upupa epops
